"key","English","Chinese","Spanish","French","Japanese","Russian"
"Europe 1939","","欧洲 1939","Europa 1939","Europe 1939","ヨーロッパ1939年","Европа 1939 г."
"Europe 1941","","欧洲 1941","Europa 1941","Europe 1941","ヨーロッパ1941年","Европа 1941 г."
"Europe 1943","","欧洲 1943","Europa 1943","Europe 1943","ヨーロッパ1943年","Европа 1943 г."
"Europe 1950","","欧洲 1950","Europa 1950","Europe 1950","ヨーロッパ1950年","Европа 1950 г."
"Asia 1937","","亚洲 1937","Asia 1937","Asie 1937","アジア1937","Азия 1937"
"Asia 1941","","亚洲 1941","Asia 1941","Asie 1941","アジア1941年","Азия 1941"
"Asia 1950","","亚洲 1950","Asia 1950","Asie 1950","アジア1950年","Азия 1950"
"[MISSION NAMES]","","","","","",""
"Greek Civil War","","希腊内战","Guerra civil griega","Guerre civile grecque","ギリシャ内戦","Гражданская война в Греции"
"Korean War","","朝鲜战争","Guerra coreana","Guerre de Corée","朝鮮戦争","Корейская война"
"Berlin Crisis","","柏林危机","Crisis de Berlín","Crise de Berlin","ベルリン危機","Берлинский кризис"
"Cuban Missile Crisis","","古巴导弹危机","Crisis de los misiles cubanos","Crise des missiles cubains","キューバ危機","Кубинский ракетный кризис"
"Six-Day War","","六日战争","Guerra de los Seis Días","Guerre des Six Jours","第三次中東戦争","Шестидневная война"
"Mission Antarctica","","南极作战","Misión Antártida","Mission Antarctique","ミッション南極","Миссия Антарктида"
"The Final Assault","","最后的总攻","El asalto final","L'assaut final","ファイナルアサルト","Последний штурм"
"Chinese Civil War","","解放战争","Guerra civil china","Guerre civile chinoise","中国内戦","Гражданская война в Китае"
"Suez Crisis","","苏黎世危机","Crisis de Suez","Crise de Suez","スエズ危機","Суэцкий кризис"
"Coastal Defense","","海岸防线","Defensa Costera","Défense côtière","沿岸防御","Береговая оборона"
"Tet Offensive","","新春攻势","Ofensiva del Tet","Offensive du Têt","テト攻勢","Тетское наступление"
"Afghanistan Campaign","","阿富汗战役","Campaña de Afganistán","Campagne d'Afghanistan","アフガニスタンキャンペーン","Кампания в Афганистане"
"Red Storm","","红色闪电","Tormenta Roja","Tempête rouge","レッドストーム","Красный шторм"
"Operation North America","","北美行动","Operación América del Norte","Opération Amérique du Nord","北米作戦","Операция Северная Америка"
"[TUTORIAL 1]","","","","","",""
"Attack","","攻击","Ataque","Attaque","攻撃","Атака"
"Click to start the game","","点击开始游戏","Haga clic para iniciar el juego","Cliquez pour démarrer le jeu","クリックしてゲームを開始します","Нажмите, чтобы начать игру"
"Click to select the unit","","点击士兵（选中）","Haga clic para seleccionar la unidad","Cliquez pour sélectionner l'unité","クリックしてユニットを選択します","Нажмите, чтобы выбрать единицу"
"Click the green tile to move","","点击绿色方格移动","Haga clic en el mosaico verde para moverse","Cliquez sur la tuile verte pour vous déplacer","緑のタイルをクリックして移動します","Щелкните зеленую плитку, чтобы переместить"
"Select the enemy to attack","","点击红色敌军进攻","Selecciona al enemigo para atacar","Sélectionnez l'ennemi à attaquer","攻撃する敵を選択してください","Выберите врага для атаки"
"Select the tank","","选中坦克","Seleccione el tanque","Sélectionnez le réservoir","タンクを選択してください","Выберите танк"
"Click the indicated tile","","移动到方格","Haga clic en el mosaico indicado","Cliquez sur la vignette indiquée","示されたタイルをクリックします","Щелкните указанную плитку"
"Click the reverse button to redo a move","","点击撤回按钮返回坦克","Haga clic en el botón de retroceso para rehacer un movimiento","Cliquez sur le bouton inverser pour refaire un mouvement","戻るボタンをクリックして、移動をやり直します","Нажмите кнопку реверса, чтобы повторить ход"
"Select the tank once again","","重新选中坦克","Seleccione el tanque una vez más","Sélectionnez à nouveau le réservoir","もう一度タンクを選択してください","Выберите танк еще раз"
"Click the new tile below","","点击新方格","Haga clic en el nuevo mosaico a continuación","Cliquez sur la nouvelle vignette ci-dessous","下の新しいタイルをクリックしてください","Щелкните новую плитку ниже"
"Attack the enemy","","进攻新敌军","Ataca al enemigo","Attaquer l'ennemi","敵を攻撃する","Атакуй врага"
"Select the city","","点击我方城市","Seleccione la ciudad","Sélectionnez la ville","都市を選択してください","Выберите город"
"Click the build button","","点击建造按钮","Haga clic en el botón de construcción","Cliquez sur le bouton de construction","ビルドボタンをクリックします","Нажмите кнопку сборки"
"Click to increase the unit size","","扩大士兵单位大小","Haga clic para aumentar el tamaño de la unidad","Cliquez pour augmenter la taille de l'unité","クリックしてユニットサイズを大きくします","Нажмите, чтобы увеличить размер блока"
"Buy the infantry","","购买士兵单位","Compra la infantería","Achetez l'infanterie","歩兵を購入する","Купить пехоту"
"Select the forest","","点击森林","Seleccione el bosque","Sélectionnez la forêt","森を選ぶ","Выберите лес"
"Click the build button again","","点击建造按钮","Haga clic en el botón de construcción nuevamente","Cliquez à nouveau sur le bouton de construction","ビルドボタンをもう一度クリックします","Снова нажмите кнопку сборки"
"Build a turret","","建造一个炮塔","Construye una torreta","Construire une tourelle","タレットを構築する","Постройте турель"
"The turret will be ready in three rounds. Click the hourglass to skip the round","","炮塔需三个回合建造。点击沙漏进行下一回合","La torreta estará lista en tres rondas. Haga clic en el reloj de arena para saltar la ronda","La tourelle sera prête en trois tours. Cliquez sur le sablier pour sauter le tour","砲塔は3ラウンドで準備が整います。砂時計をクリックしてラウンドをスキップします","Башня будет готова за три раунда. Нажмите на песочные часы, чтобы пропустить раунд"
"Confirm to skip the round","","点击确定进入回合","Confirmar para saltar la ronda","Confirmer pour sauter le tour","ラウンドをスキップすることを確認します","Подтвердите пропуск раунда"
"Click continue to keep playing","","点击继续游戏","Haga clic en continuar para seguir jugando","Cliquez sur continuer pour continuer à jouer","[続行]をクリックして再生を続けます","Нажмите ""Продолжить"", чтобы продолжить игру"
"Select the unit in the city","","点击城市士兵","Seleccione la unidad en la ciudad","Sélectionnez l'unité dans la ville","市内のユニットを選択してください","Выберите объект в городе"
"Move it outside the city to make space","","把士兵移动到外面","Muévelo fuera de la ciudad para hacer espacio.","Déplacez-le hors de la ville pour faire de l'espace","街の外に移動してスペースを作る","Переместите его за город, чтобы освободить место"
"Select the damaged unit","","选择受伤的士兵","Seleccione la unidad dañada","Sélectionnez l'unité endommagée","破損したユニットを選択してください","Выберите поврежденный блок"
"Move the unit back to the city","","把伤兵移动到城市","Mueva la unidad de regreso a la ciudad","Déplacer l'unité vers la ville","ユニットを都市に戻します","Переместите отряд обратно в город"
"Click on the city again","","重新选中城市","Haga clic en la ciudad de nuevo","Cliquez à nouveau sur la ville","もう一度街をクリックしてください","Нажмите на город еще раз"
"Click on the supply button to heal the unit","","点击补给按钮","Haga clic en el botón de suministro para curar la unidad","Cliquez sur le bouton de ravitaillement pour soigner l'unité","ユニットを癒すために供給ボタンをクリックしてください","Нажмите на кнопку снабжения, чтобы исцелить юнита."
"Click yes","","点击确认补给","Haga clic en sí","Cliquez oui","はいをクリックします","Нажмите да"
"Take the city to win the mission and finish this tutorial...","","占领城市完成任务！","Toma la ciudad para ganar la misión y termina este tutorial ...","Prenez la ville pour gagner la mission et terminer ce tutoriel ...","ミッションに勝つために都市を取り、このチュートリアルを終了してください...","Возьмите город, чтобы выиграть миссию и закончить этот урок ..."
"[TUTORIAL 2]","","","","","",""
"Click on the port. Ports can build naval units.","","点击港口造船","Haga clic en el puerto. Los puertos pueden construir unidades navales.","Cliquez sur le port. Les ports peuvent construire des unités navales.","ポートをクリックします。港は海軍ユニットを構築することができます。","Щелкните порт. В портах можно строить военно-морские подразделения."
"Click on the build button","","点击建造按钮","Haga clic en el botón de construcción","Cliquez sur le bouton de construction","ビルドボタンをクリックします","Нажмите на кнопку сборки"
"Construct an aircraft carrier","","建造一艘航母","Construye un portaaviones","Construire un porte-avions","空母を建造する","Постройте авианосец"
"Click the ground next to the city","","点击城市边上的空地","Haga clic en el suelo junto a la ciudad","Cliquez sur le sol à côté de la ville","街の隣の地面をクリックします","Щелкните землю рядом с городом"
"Click build","","点击建造按钮","Haga clic en construir","Cliquez sur construire","ビルドをクリックします","Нажмите build"
"Construct a missile launcher. These are very powerful but can only be placed near level IV factories.","","建造一个导弹发射器","Construye un lanzador de misiles. Son muy poderosos, pero solo se pueden colocar cerca de fábricas de nivel IV.","Construisez un lanceur de missiles. Ceux-ci sont très puissants mais ne peuvent être placés qu'à proximité des usines de niveau IV.","ミサイルランチャーを構築します。これらは非常に強力ですが、レベルIVの工場の近くにのみ配置できます。","Постройте ракетную установку. Они очень мощные, но могут быть размещены только возле фабрик IV уровня."
"Select the missile launcher","","选中导弹发射器","Seleccione el lanzador de misiles","Sélectionnez le lanceur de missiles","ミサイルランチャーを選択する","Выберите ракетную установку"
