"key","English","Chinese","Spanish","French","Japanese","Russian"
"-------- Normal Translations --------","","","","","",""
"Max Level","","满级","Máximo nivel","Niveau maximum","最大レベル","Максимальный уровень"
"Armchair Commander","","二战风云","Comandante de sillón","Commandant de fauteuil","アームチェアコマンダー","Кресло командира"
"Buy","","购买","Comprar","Acheter","購入","купить"
"default","No general","无将领","Sin comandante","Pas de commandant","司令官なし","Нет командира"
"Action","","效果","Acción","Action","アクション","Действие"
"All Countries","","所有国家","Todos los países","Tous les pays","全ての国々","Все страны"
"Custom country name","","自定义国名","Nombre de país personalizado","Nom de pays personnalisé","カスタム国名","Пользовательское название страны"
"Default flag","","默认的国旗","Bandera predeterminada","Indicateur par défaut","既定の国旗","Флаг по умолчанию"
"Trigger","","触发","Desencadenar","Gâchette","引き金","Спусковой крючок"
"Host Room","","创建房间","Habitación Anfitriona","Chambre d'hôte","ホストルーム","Хозяйская комната"
"Host Game","","创建房间","Juego de acogida","Héberger le jeu","ホストゲーム","Хост-игра"
"Use custom map","","使用自定义地图","Usar mapa personalizado","Utiliser une carte personnalisée","カスタムマップを使用する","Использовать пользовательскую карту"
"Map","","地图","Mapa","Carte","地図","карта"
"Opponent Country","","对手控制的国家","País oponente","Pays adversaire","対戦相手の国","Страна соперника"
"No conditions","","无条件","Sin condiciones","Aucune condition","条件なし","Нет условий"
"No Allied Resource Penalties","","无友军资源减少","Sin penalizaciones por recursos de aliados","Pas de pénalités de ressources alliées","味方のリソースペナルティなし","Отсутствие штрафов за ресурсы союзников"
"WARNING: you have a lot of maps and may crash the game more often. Maps: ","","警告：你有很多张地图，可能会增加游戏崩溃的几率。数量：","ADVERTENCIA: tienes muchos mapas y puedes bloquear el juego con más frecuencia. Mapas:","ATTENTION : vous avez beaucoup de maps et vous risquez de planter le jeu plus souvent. Plans:","警告：マップがたくさんあり、ゲームが頻繁にクラッシュする可能性があります。 マップ：","ВНИМАНИЕ: у вас много карт, и игра может вылетать чаще. Карты:"
"captured","","被敌军占领","capturado","capturé","キャプチャされた","захвачен"
"Hire","","雇佣","Contratar","Embaucher","雇う","Нанимать"
"Default","","正常","Defecto","Défaut","既定","дефолт"
"Manage","","管理","Gestionar","Gérer","管理する","Управлять"
"Strategic Run","","战略轰炸机","Carrera estratégica","Course stratégique","戦略的実行","Стратегический забег"
"Confirm?","","确定？","¿Confirmar?","Confirmer?","確認？","Подтвердить?"
"Search","","查找","Buscar","Chercher","探す","поиск"
"User Compliance","","用户条例","Cumplimiento del usuario","Conformité des utilisateurs","ユーザーコンプライアンス","Соблюдение требований пользователей"
"Optimization","","优化","Mejoramiento","Optimisation","最適化","Оптимизация"
"Preferences","","游戏偏好设置","Preferencias","Préférences","環境設定","Предпочтения"
"UI Sound","","UI声音","Sonido UI","Son de l'interface utilisateur","UIサウンド","Звук пользовательского интерфейса"
"Replace From Clipboard","","从粘贴板获取","Reemplazar desde el portapapeles","Remplacer à partir du presse-papiers","クリップボードから交換","Заменить из буфера обмена"
"Copy Local Files (only effective for 1 day)","","复制本地文件（有效期一天）","Copiar archivos locales (solo efectivo por 1 día)","Copier les fichiers locaux (uniquement efficace pendant 1 jour)","ローカルファイルのコピー（1日間のみ有効）","Копировать локальные файлы (действительно только в течение 1 дня)"
"Transfer Data","","游戏文件迁移","Transferir datos","Transférer des données","データの転送","Передача данных"
"Language","","语言","Idioma","Langue","言語","Язык"
"Community Content","","社区内容","Contenido de la comunidad","Contenu de la communauté","コミュニティコンテンツ","Контент сообщества"
"Featured","","精选","Presentado","Mis en exergue","特徴","Рекомендуемые"
"Feature","","加入精选地图","","","",""
"Success","","成功","","","",""
"Unfeature","","去除精选地图","","","",""
"Censor","","封杀","","","",""
"Uncensor","","解禁","","","",""
"Download Map","","下载地图","Descargar mapa","Télécharger la carte","地図をダウンロード","Скачать карту"
"Download and play this map?","","下载并打开地图？","Descargar y jugar este mapa?","Télécharger et jouer cette carte ?","このマップをダウンロードして再生しますか？","Скачать и поиграть в эту карту?"
"Download","","下载","Descargar","Télécharger","ダウンロード","Скачать"
"I agree to compliance rules when using community maps (in link)","","我同意所有社区条例（点击链接查看）","Acepto las reglas de cumplimiento cuando uso mapas de la comunidad (en el enlace)","J'accepte les règles de conformité lors de l'utilisation des cartes communautaires (en lien)","コミュニティマップ（リンク内）を使用する場合のコンプライアンスルールに同意します","Я согласен с правилами соответствия при использовании карт сообщества (по ссылке)"
"The developer is not responsible for the creation and revision of community content. Proceed?","","本作者不支持社区地图可能传播的任何观点。继续？","El desarrollador no es responsable de la creación y revisión del contenido de la comunidad. ¿Continuar?","Le développeur n'est pas responsable de la création et de la révision du contenu de la communauté. Procéder?","開発者は、コミュニティコンテンツの作成および改訂について責任を負いません。続行しますか？","Разработчик не несет ответственности за создание и редактирование контента сообщества. Продолжить?"
"Locked","","未解锁","Bloqueado","Fermé à clé","ロック済み","Заблокировано"
"Delete Map","","删除地图","Eliminar mapa","Supprimer la carte","マップを削除する","Удалить карту"
