"key","English","Chinese","Spanish","French","Japanese","Russian"
"Moscow","","莫斯科","Moscú","Moscou","モスクワ","Москва"
"Warsaw","","华沙","Varsovia","Varsovie","ワルシャワ","Варшава"
"Krakow","","克拉科夫","Cracovia","Cracovie","クラコウ","Краков"
"Minsk","","明斯克","Minsk","Minsk","ミンスク","Минске"
"Kiev","","基辅","Kiev","Kiev","キエフ","Киев"
"Stalingrad","","斯大林格勒","Stalingrado","Stalingrad","スターリングラード","Сталинград"
"Helsinki","","赫尔辛基","Helsinki","Helsinki","ヘルシンキ","Хельсинки"
"Madrid","","马德里","Madrid","Madrid","マドリッド","Мадрид"
"Danzig","","但泽","Danzig","Danzig","ダンジグ","Данциг"
"Brest Litovsk","","不列斯特","Brest Litovsk","Brest Litovsk","ブレスト","Брест-Литовск"
"Belgrade","","贝尔格莱德","Belgrado","Belgrade","ベオグラード","Белград"
"Sofia","","索菲亚","Sofía","Sofia","ソフィア","София"
"Bucharest","","布加勒斯特","Bucarest","Bucarest","ブカレスト","Бухарест"
"Athens","","雅典","Atenas","Athènes","アテネ","Афины"
"Kharkov","","哈尔科夫","Jarkov","Kharkov","Kharkiv","Харьков"
"Smolensk","","斯摩棱斯克","Smolensk","Smolensk","スモリンスク","Смоленск"
"Kirov","","基洛夫","Kirov","Kirov","キロフ","Киров"
"Berlin","","柏林","Berlina","Berlin","ベルリン","Берлин"
"Copenhagon","","哥本哈根","Copenhague","Copenhague","コペンハーゲン","Копенгагон"
"Amsterdam","","阿姆斯特丹","Amsterdam","Amsterdam","アムステルダム","Амстердам"
"Brussels","","布鲁塞尔","Bruselas","Bruxelles","ブリュッセル","Брюссель"
"Luxembourg City","","卢森堡市","Ciudad de Luxemburgo","Luxembourg ville","ルクセンブルク市","Город Люксембург"
"Hamburg","","汉堡","Hamburgo","Hambourg","ハンブルク","Гамбург"
"Prague","","布拉格","Praga","Prague","プラハ","Прага"
"Paris","","巴黎","París","Paris","パリ","Париж"
"Barcelona","","巴萨罗那","Barcelona","Barcelone","バルセロナ","Барселона"
"Lyon","","里昂","Lyon","Lyon","レオン","Лион"
"Dublin","","都柏林","Dublín","Dublin","ダブリン","Дублин"
"Belfast","","贝尔法斯特","Belfast","Belfast","ベルヘア","Белфаст"
"Glasgow","","格拉斯哥","Glasgow","Glasgow","グラスゴー","Глазго"
"Manchester","","曼切斯特","Manchester","Manchester","マンチェスター","Манчестер"
"London","","伦敦","Londres","Londres","ロンドン","Лондон"
"Rome","","罗马","Roma","Rome","ローマ","Рим"
"Naples","","那不勒斯","Nápoles","Naples","ナポリ","Неаполь"
"Gibaltar","","直布罗陀","Gibaltar","Gibaltar","ジブラルタル","Gibaltar"
"Munich","","慕尼黑","Munich","Munich","ミュンヘン","Мюнхен"
"Leningrad","","勒宁格勒","Leningrado","Leningrad","レニングラード","Ленинград"
"Oslo","","奥斯陆","Oslo","Oslo","オスロ","Осло"
"Stockholm","","斯德哥尔摩","Estocolmo","Stockholm","ストックホルム","Стокгольм"
"Sevastapol","","塞瓦斯托波尔","Sevastapol","Sébastapol","セバストポール","Севастаполь"
